id,mag,place,time,updated,tz,url,detail,felt,cdi,mmi,alert,status,tsunami,sig,net,code,ids,sources,types,nst,dmin,rms,gap,magType,type,title,geometry
uw61887007,0.59,"12 km WSW of Packwood, Washington",1669228488580,1669229705170,,https://earthquake.usgs.gov/earthquakes/eventpage/uw61887007,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uw61887007&format=geojson,,,,,reviewed,0,5,uw,61887007,",uw61887007,",",uw,",",origin,phase-data,",32.0,0.1268,0.19,84.0,ml,earthquake,"M 0.6 - 12 km WSW of Packwood, Washington",POINT Z (-121.80666666666667 46.547 8.89)
nc73810706,1.45,"6km N of Lake Pillsbury, CA",1669227988060,1669233074606,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73810706,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73810706&format=geojson,,,,,reviewed,0,32,nc,73810706,",nc73810706,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",8.0,,0.11,167.0,md,earthquake,"M 1.5 - 6km N of Lake Pillsbury, CA",POINT Z (-122.9593333 39.4631667 2.43)
ci40380000,1.28,"14km SW of Searles Valley, CA",1669226830480,1669229311188,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40380000,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40380000&format=geojson,1.0,1.0,,,reviewed,0,25,ci,40380000,",ci40380000,",",ci,",",dyfi,nearby-cities,origin,phase-data,scitech-link,",22.0,0.08934,0.1,63.0,ml,earthquake,"M 1.3 - 14km SW of Searles Valley, CA",POINT Z (-117.4966667 35.6715 2.85)
ci40379984,1.78,"13km SE of Bodfish, CA",1669225840290,1669227275210,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40379984,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40379984&format=geojson,,,,,reviewed,0,49,ci,40379984,",ci40379984,",",ci,",",focal-mechanism,nearby-cities,origin,phase-data,scitech-link,",33.0,0.1756,0.12,42.0,ml,earthquake,"M 1.8 - 13km SE of Bodfish, CA",POINT Z (-118.3985 35.498 6.76)
ci40379992,1.38,"9km NNW of Big Bear City, CA",1669225741830,1669230455767,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40379992,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40379992&format=geojson,,,,,reviewed,0,29,ci,40379992,",ci40379992,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",6.0,0.04911,0.15,130.0,ml,quarry blast,"M 1.4 Quarry Blast - 9km NNW of Big Bear City, CA",POINT Z (-116.8851667 34.3365 -1.41)
nn00851939,0.8,"31 km SE of Mina, Nevada",1669223507631,1669238599736,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00851939,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00851939&format=geojson,,,,,reviewed,0,10,nn,00851939,",nn00851939,",",nn,",",origin,phase-data,",14.0,0.052,0.1556,128.78,ml,earthquake,"M 0.8 - 31 km SE of Mina, Nevada",POINT Z (-117.8979 38.1585 7.2)
nn00851935,1.7,Nevada,1669223372074,1669231156962,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00851935,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00851935&format=geojson,,,,,reviewed,0,44,nn,00851935,",nn00851935,",",nn,",",origin,phase-data,",14.0,0.091,0.1216,137.17,ml,earthquake,M 1.7 - Nevada,POINT Z (-117.865 38.1917 6.4)
nc73810686,0.85,"3km NNW of The Geysers, CA",1669223319680,1669230853356,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73810686,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73810686&format=geojson,,,,,automatic,0,11,nc,73810686,",nc73810686,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",10.0,0.008045,0.01,92.0,md,earthquake,"M 0.9 - 3km NNW of The Geysers, CA",POINT Z (-122.7699966 38.8009987 1.59)
us7000irv9,5.1,Norwegian Sea,1669223068653,1669225406040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000irv9,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000irv9&format=geojson,,,,,reviewed,0,400,us,7000irv9,",us7000irv9,",",us,",",origin,phase-data,",111.0,6.58,0.62,64.0,mww,earthquake,M 5.1 - Norwegian Sea,POINT Z (3.2396 72.5067 10)
us7000irv5,5.2,"185 km SSE of Katsuura, Japan",1669222343583,1669224878531,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000irv5,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000irv5&format=geojson,1.0,2.0,,,reviewed,0,416,us,7000irv5,",us7000irv5,usauto7000irv5,",",us,usauto,",",dyfi,internal-moment-tensor,origin,phase-data,",100.0,1.453,0.68,100.0,mww,earthquake,"M 5.2 - 185 km SSE of Katsuura, Japan",POINT Z (141.3903 33.7269 12.881)
ci40379968,1.38,"7km ENE of Imperial, CA",1669222314000,1669226659385,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40379968,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40379968&format=geojson,,,,,reviewed,0,29,ci,40379968,",ci40379968,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",14.0,0.05013,0.12,142.0,ml,earthquake,"M 1.4 - 7km ENE of Imperial, CA",POINT Z (-115.5068333 32.88 4.84)
ci40379960,0.89,"14km ENE of Borrego Springs, CA",1669221249790,1669226444364,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40379960,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40379960&format=geojson,,,,,reviewed,0,12,ci,40379960,",ci40379960,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",36.0,0.08281,0.17,95.0,ml,earthquake,"M 0.9 - 14km ENE of Borrego Springs, CA",POINT Z (-116.2328333 33.31 11.6)
nc73810681,0.36,"6km WNW of Cobb, CA",1669220989940,1669227552971,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73810681,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73810681&format=geojson,,,,,automatic,0,2,nc,73810681,",nc73810681,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",7.0,0.002255,0.01,80.0,md,earthquake,"M 0.4 - 6km WNW of Cobb, CA",POINT Z (-122.7900009 38.8361664 1.9)
us7000iru6,4.8,"124 km WNW of Rumoi, Japan",1669220815764,1669222133040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000iru6,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000iru6&format=geojson,,,,,reviewed,0,354,us,7000iru6,",us7000iru6,",",us,",",origin,phase-data,",86.0,1.76,0.36,40.0,mb,earthquake,"M 4.8 - 124 km WNW of Rumoi, Japan",POINT Z (140.1562 44.2758 246.646)
pr71383648,1.59,"5 km WSW of Guánica, Puerto Rico",1669220677720,1669227845600,,https://earthquake.usgs.gov/earthquakes/eventpage/pr71383648,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=pr71383648&format=geojson,,,,,reviewed,0,39,pr,71383648,",pr71383648,",",pr,",",origin,phase-data,",5.0,0.07559,0.05,215.0,md,earthquake,"M 1.6 - 5 km WSW of Guánica, Puerto Rico",POINT Z (-66.9536666666667 17.9485 10.35)
nc73810676,0.86,"10km WNW of Cobb, CA",1669220199300,1669225996812,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73810676,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73810676&format=geojson,,,,,automatic,0,11,nc,73810676,",nc73810676,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",9.0,0.008124,0.03,191.0,md,earthquake,"M 0.9 - 10km WNW of Cobb, CA",POINT Z (-122.8286667 38.8476677 1.33)
ak022f12cpm2,1.7,"35 km SE of Denali National Park, Alaska",1669220135143,1669220303989,,https://earthquake.usgs.gov/earthquakes/eventpage/ak022f12cpm2,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak022f12cpm2&format=geojson,,,,,automatic,0,44,ak,022f12cpm2,",ak022f12cpm2,",",ak,",",origin,phase-data,",,,0.5,,ml,earthquake,"M 1.7 - 35 km SE of Denali National Park, Alaska",POINT Z (-151.3011 63.2825 5.2)
nn00851932,1.1,"30 km SE of Mina, Nevada",1669219881811,1669239160989,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00851932,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00851932&format=geojson,,,,,reviewed,0,19,nn,00851932,",nn00851932,",",nn,",",origin,phase-data,",15.0,0.069,0.1317,165.05,ml,earthquake,"M 1.1 - 30 km SE of Mina, Nevada",POINT Z (-117.8858 38.1766 8.4)
uu60526157,1.51,"11 km W of Emery, Utah",1669219668270,1669224162600,,https://earthquake.usgs.gov/earthquakes/eventpage/uu60526157,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uu60526157&format=geojson,,,,,reviewed,0,35,uu,60526157,",uu60526157,",",uu,",",origin,phase-data,",5.0,0.07261,0.06,182.0,ml,earthquake,"M 1.5 - 11 km W of Emery, Utah",POINT Z (-111.3833333 38.9273333 1.37)
ak022f12aefb,1.6,"15 km N of Meadow Lakes, Alaska",1669219497032,1669219609456,,https://earthquake.usgs.gov/earthquakes/eventpage/ak022f12aefb,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak022f12aefb&format=geojson,,,,,automatic,0,39,ak,022f12aefb,",ak022f12aefb,",",ak,",",origin,phase-data,",,,0.32,,ml,earthquake,"M 1.6 - 15 km N of Meadow Lakes, Alaska",POINT Z (-149.5589 61.7627 35.3)
hv73233082,1.76999998,"5 km WSW of Volcano, Hawaii",1669219025120,1669219210830,,https://earthquake.usgs.gov/earthquakes/eventpage/hv73233082,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv73233082&format=geojson,,,,,automatic,0,48,hv,73233082,",hv73233082,",",hv,",",origin,phase-data,",23.0,,0.170000002,74.0,md,earthquake,"M 1.8 - 5 km WSW of Volcano, Hawaii",POINT Z (-155.274993896484 19.4193325042725 6.51000022888184)
nc73810671,1.5,"11km NNE of Brooktrails, CA",1669218882270,1669237274025,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73810671,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73810671&format=geojson,,,,,reviewed,0,35,nc,73810671,",nc73810671,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",12.0,0.06526,0.07,104.0,md,earthquake,"M 1.5 - 11km NNE of Brooktrails, CA",POINT Z (-123.3368333 39.5343333 9.27)
pr71383643,2.12,Puerto Rico region,1669218687240,1669227318850,,https://earthquake.usgs.gov/earthquakes/eventpage/pr71383643,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=pr71383643&format=geojson,,,,,reviewed,0,69,pr,71383643,",pr71383643,",",pr,",",origin,phase-data,",7.0,0.07283,0.12,193.0,md,earthquake,M 2.1 - Puerto Rico region,POINT Z (-66.955 17.9646666666667 10)
ak022f11yx9u,1.9,"45 km E of Huslia, Alaska",1669218659818,1669219002276,,https://earthquake.usgs.gov/earthquakes/eventpage/ak022f11yx9u,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak022f11yx9u&format=geojson,,,,,automatic,0,56,ak,022f11yx9u,",ak022f11yx9u,",",ak,",",origin,phase-data,",,,1.1,,ml,earthquake,"M 1.9 - 45 km E of Huslia, Alaska",POINT Z (-155.4096 65.7469 0)
ak022f11yiia,1.3,"6 km SW of Houston, Alaska",1669218551222,1669218658857,,https://earthquake.usgs.gov/earthquakes/eventpage/ak022f11yiia,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak022f11yiia&format=geojson,,,,,automatic,0,26,ak,022f11yiia,",ak022f11yiia,",",ak,",",origin,phase-data,",,,1.23,,ml,earthquake,"M 1.3 - 6 km SW of Houston, Alaska",POINT Z (-149.8859 61.5825 48.3)
ak022f11xxjj,1.3,"34 km SSW of Dry Creek, Alaska",1669218399427,1669218553139,,https://earthquake.usgs.gov/earthquakes/eventpage/ak022f11xxjj,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak022f11xxjj&format=geojson,,,,,automatic,0,26,ak,022f11xxjj,",ak022f11xxjj,",",ak,",",origin,phase-data,",,,0.49,,ml,earthquake,"M 1.3 - 34 km SSW of Dry Creek, Alaska",POINT Z (-144.9893 63.3847 7.6)
pr71383628,2.21,"5 km WSW of Guánica, Puerto Rico",1669218269220,1669221671130,,https://earthquake.usgs.gov/earthquakes/eventpage/pr71383628,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=pr71383628&format=geojson,,,,,reviewed,0,75,pr,71383628,",pr71383628,",",pr,",",origin,phase-data,",26.0,0.07562,0.1,209.0,md,earthquake,"M 2.2 - 5 km WSW of Guánica, Puerto Rico",POINT Z (-66.952 17.9445 9.23)
ak022f11x41d,3.3,Southern Alaska,1669218178269,1669234099414,,https://earthquake.usgs.gov/earthquakes/eventpage/ak022f11x41d,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak022f11x41d&format=geojson,12.0,2.7,,,reviewed,0,171,ak,022f11x41d,",ak022f11x41d,",",ak,",",dyfi,origin,phase-data,",,,0.82,,ml,earthquake,M 3.3 - Southern Alaska,POINT Z (-149.8411 61.6627 24.8)
pr71383623,1.94,"5 km WSW of Guánica, Puerto Rico",1669218161670,1669227188280,,https://earthquake.usgs.gov/earthquakes/eventpage/pr71383623,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=pr71383623&format=geojson,,,,,reviewed,0,58,pr,71383623,",pr71383623,",",pr,",",origin,phase-data,",7.0,0.07515,0.06,210.0,md,earthquake,"M 1.9 - 5 km WSW of Guánica, Puerto Rico",POINT Z (-66.9545 17.9521666666667 10.81)
us7000irty,4.9,south of the Fiji Islands,1669217855143,1669218809040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000irty,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000irty&format=geojson,,,,,reviewed,0,369,us,7000irty,",us7000irty,",",us,",",origin,phase-data,",31.0,5.223,0.49,148.0,mb,earthquake,M 4.9 - south of the Fiji Islands,POINT Z (-179.4877 -24.6029 553.061)
ci40379928,2.13,"10km S of Idyllwild, CA",1669217790450,1669222165280,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40379928,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40379928&format=geojson,,,,,reviewed,0,70,ci,40379928,",ci40379928,",",ci,",",focal-mechanism,nearby-cities,origin,phase-data,scitech-link,",66.0,0.06179,0.18,21.0,ml,earthquake,"M 2.1 - 10km S of Idyllwild, CA",POINT Z (-116.738 33.6516667 12.4)
ak022f11ubdk,1.7,Central Alaska,1669217392569,1669217785106,,https://earthquake.usgs.gov/earthquakes/eventpage/ak022f11ubdk,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak022f11ubdk&format=geojson,,,,,automatic,0,44,ak,022f11ubdk,",ak022f11ubdk,",",ak,",",origin,phase-data,",,,0.48,,ml,earthquake,M 1.7 - Central Alaska,POINT Z (-151.1129 62.2387 63.9)
ak022f11toqt,2.4,"23 km ENE of Susitna North, Alaska",1669217219256,1669241241040,,https://earthquake.usgs.gov/earthquakes/eventpage/ak022f11toqt,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak022f11toqt&format=geojson,,,,,automatic,0,89,ak,022f11toqt,",us7000irtw,ak022f11toqt,",",us,ak,",",origin,phase-data,",,,0.48,,ml,earthquake,"M 2.4 - 23 km ENE of Susitna North, Alaska",POINT Z (-149.4111 62.2049 35.1)
tx2022wyuj,2.4,"31 km NW of Toyah, Texas",1669216833324,1669227259438,,https://earthquake.usgs.gov/earthquakes/eventpage/tx2022wyuj,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=tx2022wyuj&format=geojson,,,,,reviewed,0,89,tx,2022wyuj,",tx2022wyuj,",",tx,",",origin,phase-data,",26.0,0.03757770333,0.2,64.0,ml,earthquake,"M 2.4 - 31 km NW of Toyah, Texas",POINT Z (-104.010642 31.52870004 6.851391602)
